timestamp,tag,seed,num_demo_transitions,num_random_episodes,action_repeat,hidden_dim,num_layers,normalize,inv_dyn_lr,num_inv_dyn_iters,num_bc_iters,num_random_transitions,random_pos_min,random_pos_max,inv_dyn_train_acc,demo_acc,demo_n_left,demo_acc_left,demo_n_noop,demo_acc_noop,demo_n_right,demo_acc_right,demo_pos_min,demo_pos_max,demo_n_in_range,demo_acc_in_range,demo_n_out_range,demo_acc_out_range,bc_final_loss,return_mean,return_min,return_max,success_rate
2026-09-24T19:13:23,width,4,249,5,1,256,2,True,0.01,1000,100,1000,-0.7158247232437134,-0.35470864176750183,1.0,0.6867470145225525,37,0.5675675868988037,61,1.0,151,0.5894039869308472,-0.9386533498764038,0.4995170831680298,113,0.778761088848114,136,0.6102941036224365,0.5434489250183105,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:25,width,8,249,5,1,256,2,True,0.01,1000,100,1000,-0.7353748083114624,-0.3284129798412323,1.0,0.7670682668685913,37,0.7297297120094299,61,1.0,151,0.6821191906929016,-0.9386533498764038,0.4995170831680298,120,0.8416666388511658,129,0.6976743936538696,0.722309410572052,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:27,depth,2,249,5,1,64,1,True,0.01,1000,100,1000,-0.6666088700294495,-0.37627825140953064,1.0,0.8995984196662903,37,1.0,61,1.0,151,0.8344370722770691,-0.9386533498764038,0.4995170831680298,104,1.0,145,0.8275862336158752,0.4295002520084381,-188.66666666666666,-200.0,-162.0,0.3333333333333333
2026-09-24T19:13:29,depth,4,249,5,1,64,1,True,0.01,1000,100,1000,-0.7859890460968018,-0.3380066156387329,1.0,0.9638554453849792,37,1.0,61,1.0,151,0.940397322177887,-0.9386533498764038,0.4995170831680298,125,1.0,124,0.9274193644523621,0.47791048884391785,-187.66666666666666,-200.0,-157.0,0.3333333333333333
2026-09-24T19:13:30,depth,8,249,5,1,64,1,True,0.01,1000,100,1000,-0.7000578045845032,-0.3549567759037018,1.0,0.9076305031776428,37,1.0,61,1.0,151,0.8476821184158325,-0.9386533498764038,0.4995170831680298,111,1.0,138,0.8333333134651184,0.4702628552913666,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:32,depth,2,249,5,1,64,3,True,0.01,1000,100,1000,-0.7872912883758545,-0.29515209794044495,1.0,0.8875501751899719,37,1.0,61,1.0,151,0.8145695328712463,-0.9386533498764038,0.4995170831680298,132,0.8712121248245239,117,0.9059829115867615,0.5584760308265686,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:34,depth,4,249,5,1,64,3,True,0.01,1000,100,1000,-0.7510683536529541,-0.36853423714637756,1.0,0.9076305031776428,37,1.0,61,1.0,151,0.8476821184158325,-0.9386533498764038,0.4995170831680298,115,1.0,134,0.8283582329750061,0.3878976106643677,-188.0,-200.0,-161.0,0.3333333333333333
2026-09-24T19:13:36,depth,8,249,5,1,64,3,True,0.01,1000,100,1000,-0.7910040616989136,-0.3031615614891052,1.0,0.9759036302566528,37,0.9729729890823364,61,1.0,151,0.9668874144554138,-0.9386533498764038,0.4995170831680298,131,0.9618320465087891,118,0.991525411605835,0.46679630875587463,-166.66666666666666,-200.0,-121.0,0.5
2026-09-24T19:13:38,depth,2,249,5,1,64,4,True,0.01,1000,100,1000,-0.703150749206543,-0.3277412950992584,1.0,0.8875501751899719,37,1.0,61,1.0,151,0.8145695328712463,-0.9386533498764038,0.4995170831680298,116,0.8534482717514038,133,0.9172932505607605,0.5310899019241333,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:40,depth,4,249,5,1,64,4,True,0.01,1000,100,1000,-0.775775134563446,-0.23186418414115906,1.0,0.8755019903182983,37,1.0,61,1.0,151,0.7947019934654236,-0.9386533498764038,0.4995170831680298,141,0.9078013896942139,108,0.8333333134651184,0.8397998809814453,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:42,depth,8,249,5,1,64,4,True,0.01,1000,100,1000,-0.6823585033416748,-0.36833682656288147,1.0,0.6104417443275452,37,0.3513513505458832,61,1.0,151,0.5165562629699707,-0.9386533498764038,0.4995170831680298,107,0.7009345889091492,142,0.5422534942626953,0.5287545919418335,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:44,iters,2,249,5,1,64,2,True,0.01,10,100,1000,-0.7539750933647156,-0.2751635015010834,1.0,0.7550200819969177,37,0.6216216087341309,61,1.0,151,0.6887417435646057,-0.9386533498764038,0.4995170831680298,130,0.8538461327552795,119,0.6470588445663452,0.6198611855506897,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:45,iters,4,249,5,1,64,2,True,0.01,10,100,1000,-0.7181689143180847,-0.33548739552497864,0.9950000047683716,0.7670682668685913,37,0.5945945978164673,61,1.0,151,0.7152317762374878,-0.9386533498764038,0.4995170831680298,117,0.7948718070983887,132,0.7424242496490479,0.5751311182975769,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:47,iters,8,249,5,1,64,2,True,0.01,10,100,1000,-0.7790693640708923,-0.2834855020046234,0.9879999756813049,0.5702811479568481,37,0.7027027010917664,61,1.0,151,0.3642384111881256,-0.9386533498764038,0.4995170831680298,132,0.6439393758773804,117,0.4871794879436493,0.6783191561698914,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:48,iters,2,249,5,1,64,2,True,0.01,25,100,1000,-0.6692647933959961,-0.34103095531463623,1.0,0.6827309131622314,37,1.0,61,1.0,151,0.4768211841583252,-0.9386533498764038,0.4995170831680298,109,0.853210985660553,140,0.550000011920929,0.5966959595680237,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:49,iters,4,249,5,1,64,2,True,0.01,25,100,1000,-0.7305300831794739,-0.3045981824398041,1.0,0.8755019903182983,37,1.0,61,1.0,151,0.7947019934654236,-0.9386533498764038,0.4995170831680298,122,1.0,127,0.7559055089950562,0.3821927607059479,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:51,iters,8,249,5,1,64,2,True,0.01,25,100,1000,-0.7032145261764526,-0.3826879858970642,1.0,0.6907630562782288,37,0.7297297120094299,61,1.0,151,0.556291401386261,-0.9386533498764038,0.4995170831680298,107,0.8317757248878479,142,0.5845070481300354,0.5990438461303711,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:52,iters,2,249,5,1,64,2,True,0.01,50,100,1000,-0.7045247554779053,-0.35574281215667725,1.0,0.7911646366119385,37,1.0,61,1.0,151,0.6556291580200195,-0.9386533498764038,0.4995170831680298,111,0.8828828930854797,138,0.717391312122345,0.6420530676841736,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:53,iters,4,249,5,1,64,2,True,0.01,50,100,1000,-0.6676531434059143,-0.3103165328502655,1.0,0.8313252925872803,37,0.9189189076423645,61,1.0,151,0.7417218685150146,-0.9386533498764038,0.4995170831680298,112,0.9821428656578064,137,0.7080292105674744,0.4669882357120514,-200.0,-200.0,-200.0,0.0
